Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
12280,10466,Directed,12280_10466,,,15,510000,2250,2108,0,1408,1524
11042,11433,Directed,11042_11433,,,1768,23090717,92670,67190,109417,9310,50656
13342,13495,Directed,13342_13495,,,88,2209693,10141,7292,3150,6321,10470
14683,14492,Directed,14683_14492,,,1,18500,66,57,0,1225,242
13204,13930,Directed,13204_13930,,,3366,134686336,507057,441998,62238,61305,493251
14119,12294,Directed,14119_12294,,,1,1800,9,4,0,136,30
10140,11982,Directed,10140_11982,,,1,35300,140,139,0,578,150
11618,13204,Directed,11618_13204,,,4732,203274521,782712,678198,443222,106932,629209
11697,12992,Directed,11697_12992,,,2,73400,274,263,66,1868,269
11122,13487,Directed,11122_13487,,,9,462312,498,174,78788,2696,779
11719,14869,Directed,11719_14869,,,1,30016,136,126,0,367,62
12197,14986,Directed,12197_14986,,,1,5300,7,5,0,1069,156
12853,11336,Directed,12853_11336,,,14,34600,123,18,327,896,687
10581,10135,Directed,10581_10135,,,3,51804,163,141,0,1326,459
12992,10590,Directed,12992_10590,,,5,135000,650,484,0,6330,864
13244,10747,Directed,13244_10747,,,1,18500,0,0,5440,770,132
10300,13303,Directed,10300_13303,,,1,12000,50,37,0,617,88
13495,10590,Directed,13495_10590,,,4,108000,520,364,0,5836,780
12149,13198,Directed,12149_13198,,,3,45600,0,0,14406,2313,399
15370,14683,Directed,15370_14683,,,3,76285,284,181,122,1449,266
12708,13770,Directed,12708_13770,,,4,4800,24,17,0,264,143
14960,11563,Directed,14960_11563,,,2,60000,300,264,0,1942,221
12983,12815,Directed,12983_12815,,,1,1200,6,2,0,55,25
10821,14027,Directed,10821_14027,,,1093,38803200,146176,125703,134672,30905,136821
14831,13198,Directed,14831_13198,,,1,49000,182,147,0,1480,175
10868,13277,Directed,10868_13277,,,1,51700,183,150,0,326,50
14004,10994,Directed,14004_10994,,,46,11618498,0,0,1956681,21771,12405
12087,11844,Directed,12087_11844,,,1,4203,19,17,0,197,51
14570,12003,Directed,14570_12003,,,1,27000,130,91,0,694,102
14057,15978,Directed,14057_15978,,,18,62175,0,0,34638,1880,2092
12055,13105,Directed,12055_13105,,,1,15500,0,0,5837,235,48
11003,12191,Directed,11003_12191,,,1,11780,50,46,0,867,175
13342,12892,Directed,13342_12892,,,997,33812743,136111,118209,17312,54436,237163
13296,10257,Directed,13296_10257,,,2,60680,237,189,94,242,133
11057,15295,Directed,11057_15295,,,13,987965,125,61,296526,5126,1027
10721,12889,Directed,10721_12889,,,753,28611210,113015,91264,948160,83335,241218
13970,12807,Directed,13970_12807,,,1,3705,19,19,0,335,73
12264,10874,Directed,12264_10874,,,1,18500,66,54,0,252,80
12884,12878,Directed,12884_12878,,,6,99800,449,261,0,612,234
11982,11193,Directed,11982_11193,,,1,42500,173,91,0,925,119
10616,10299,Directed,10616_10299,,,4,5401,28,14,0,714,267
10599,10397,Directed,10599_10397,,,4696,87508608,334691,264200,325619,16214,158452
14013,11555,Directed,14013_11555,,,1,1358,7,6,0,102,35
10245,15700,Directed,10245_15700,,,3,12950,18,9,2655,70,39
11986,15304,Directed,11986_15304,,,74,1850000,8658,5909,0,6246,9818
14805,10299,Directed,14805_10299,,,5,12000,45,20,0,3015,702
10874,11292,Directed,10874_11292,,,692,21658618,88110,76086,0,26928,121196
10245,11555,Directed,10245_11555,,,1,5636,0,0,214,230,129
