Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
34100,35412,Directed,34100_35412,,,653,8127223,32808,21708,40895,9418,57685
30732,32337,Directed,30732_32337,,,1,139118,0,0,109576,1857,241
31336,31445,Directed,31336_31445,,,25,148766,274,204,11164,6580,2910
34524,34100,Directed,34524_34100,,,2590,60024363,108943,83527,5227610,9702,116701
32600,32598,Directed,32600_32598,,,3,26700,0,0,6225,630,237
31871,30397,Directed,31871_30397,,,2927,66932147,279124,213831,112005,16218,100591
34027,30615,Directed,34027_30615,,,1,48981,0,0,10685,1622,228
30739,31267,Directed,30739_31267,,,1,18500,0,0,3528,672,126
31871,31295,Directed,31871_31295,,,1412,17486884,70118,56757,161743,20383,118523
31123,34512,Directed,31123_34512,,,6,442426,135,130,155000,494,284
30245,34919,Directed,30245_34919,,,17,109498,408,248,1229,5100,1966
31003,30194,Directed,31003_30194,,,1799,20985130,86113,66227,1225,23974,188984
30640,30020,Directed,30640_30020,,,29,68450,241,121,5149,1134,607
32523,31720,Directed,32523_31720,,,25,25800,110,23,4,140,383
30617,32436,Directed,30617_32436,,,251,878500,0,0,80010,1464,11429
30009,34942,Directed,30009_34942,,,2348,3052400,11740,4843,269461,400,29573
33942,33970,Directed,33942_33970,,,1059,3105375,8569,3664,48914,3956,19234
31867,30325,Directed,31867_30325,,,1,34600,143,136,1459,251,43
30792,32211,Directed,30792_32211,,,627,26103000,105681,96228,72789,43692,168554
34100,30466,Directed,34100_30466,,,2734,127331274,467656,406777,817532,120350,767305
33342,31295,Directed,33342_31295,,,2154,60297691,244277,190743,21415,33891,97747
32884,33244,Directed,32884_33244,,,1,107500,0,0,18078,607,86
30070,32772,Directed,30070_32772,,,1130,1594571,5596,2094,183365,988,12755
30928,31898,Directed,30928_31898,,,2,125693,0,0,32760,1422,184
30140,33570,Directed,30140_33570,,,866,29143600,122265,90729,89939,19468,80028
33196,33899,Directed,33196_33899,,,8,9600,34,8,300,160,128
31454,32070,Directed,31454_32070,,,192,5801202,26567,24711,190,14467,22592
34027,33195,Directed,34027_33195,,,904,9761386,31660,20973,1379854,4206,43882
34524,31871,Directed,34524_31871,,,4,105994,366,272,14,1312,347
32719,33369,Directed,32719_33369,,,1,1350,6,0,141,60,32
33367,30397,Directed,33367_30397,,,1056,20860914,83938,63357,2524,36081,93462
32457,31453,Directed,32457_31453,,,4993,202855366,795757,672666,3835799,317522,981473
30324,32869,Directed,30324_32869,,,52,77200,223,47,8142,84,458
32704,34895,Directed,32704_34895,,,1,1350,6,0,40,104,47
31406,30113,Directed,31406_30113,,,352,494950,1978,544,14498,3294,21693
33195,33044,Directed,33195_33044,,,685,39205560,65849,47049,13776303,37125,70809
30466,30189,Directed,30466_30189,,,70,2122040,9680,7588,535,4943,5364
33192,30157,Directed,33192_30157,,,1153,6399069,17490,8782,879548,7551,71915
30852,32324,Directed,30852_32324,,,1,113980,0,0,6661,341,58
33196,33676,Directed,33196_33676,,,282,374620,1374,246,3851,2240,5334
35523,31484,Directed,35523_31484,,,1,1850,6,1,35,17,6
31844,32214,Directed,31844_32214,,,347,784150,2641,469,14232,3657,10705
33038,33367,Directed,33038_33367,,,1,5600,0,0,1760,1092,150
31650,31714,Directed,31650_31714,,,1344,62104104,234572,193612,4645,93456,233969
30466,33316,Directed,30466_33316,,,1446,49270572,186567,150975,139861,62209,186305
32467,32134,Directed,32467_32134,,,1,264555,0,0,199472,4862,563
31952,31492,Directed,31952_31492,,,54,84150,291,99,8880,1404,2208
32448,32951,Directed,32448_32951,,,58,4363326,87,65,390478,2576,2231
30208,31057,Directed,30208_31057,,,2409,45618299,119633,89697,4156,6720,88227
30423,34614,Directed,30423_34614,,,944,20565187,76948,68090,1871,43440,143096
32857,32253,Directed,32857_32253,,,23,30345,139,34,1197,120,205
31295,31454,Directed,31295_31454,,,3373,159118249,615059,534089,263767,97614,429623
30198,34653,Directed,30198_34653,,,1,21226,0,0,14685,899,129
30299,36311,Directed,30299_36311,,,5,133600,0,0,119656,1675,457
30721,30423,Directed,30721_30423,,,356,10017500,38594,31561,3898,32262,86245
32235,31517,Directed,32235_31517,,,215,473790,1820,946,9723,9141,16027
31050,30666,Directed,31050_30666,,,2,6900,0,0,608,128,52
31454,33851,Directed,31454_33851,,,62,2108814,8607,5166,6908,10690,10081
31884,30189,Directed,31884_30189,,,4,143777,571,509,180,3548,617
31401,32253,Directed,31401_32253,,,945,1349334,5827,2044,58528,3020,23984
30070,30324,Directed,30070_30324,,,51,75884,215,43,11477,795,2023
31637,31650,Directed,31637_31650,,,2511,47019465,181805,142103,35623,24753,102227
32211,31140,Directed,32211_31140,,,2,63203,242,221,657,2364,339
30792,30198,Directed,30792_30198,,,8,223993,914,433,3565,1116,307
33044,33570,Directed,33044_33570,,,217,27495688,0,0,18103941,25256,49732
30155,33290,Directed,30155_33290,,,1,39387,167,156,436,520,70
34828,34256,Directed,34828_34256,,,7,68092,72,31,12452,465,201
33044,30434,Directed,33044_30434,,,3,55760,179,91,16,1728,345
30466,32467,Directed,30466_32467,,,1362,54189720,205529,173758,178233,108460,311184
34130,31952,Directed,34130_31952,,,7,12100,45,27,207,660,365
32211,32337,Directed,32211_32337,,,973,35362267,144341,127814,333460,50880,182267
34268,32321,Directed,34268_32321,,,157,203470,942,55,199,703,2992
31559,30299,Directed,31559_30299,,,29,214750,850,268,215,1175,1771
33434,35085,Directed,33434_35085,,,56,112350,390,165,2077,1392,1370
30977,31823,Directed,30977_31823,,,2178,26090731,103760,76808,19492,6404,66625
34100,34945,Directed,34100_34945,,,178,8878000,29332,25932,11119,44940,36286
31057,34819,Directed,31057_34819,,,832,50346700,159544,139489,1694947,84075,152185
34100,31453,Directed,34100_31453,,,2639,85814914,326426,270627,170243,144513,500518
33195,34819,Directed,33195_34819,,,1215,45010160,180836,151407,236802,38347,183378
35380,31721,Directed,35380_31721,,,4,21986,50,47,4128,306,339
32779,31492,Directed,32779_31492,,,5,13050,27,16,1304,213,169
33195,30693,Directed,33195_30693,,,1358,46375353,193064,144953,428968,19584,121493
33970,30640,Directed,33970_30640,,,999,2773474,7826,2756,219415,7030,28010
32511,33256,Directed,32511_33256,,,1,21226,0,0,4780,787,113
32467,30994,Directed,32467_30994,,,633,7582948,31324,24083,1411,15553,49245
33485,33105,Directed,33485_33105,,,357,4744470,18704,14207,2,7460,20875
31057,33198,Directed,31057_33198,,,1686,55959147,198186,163309,137470,50895,209459
34057,33244,Directed,34057_33244,,,609,109577755,54,39,57868589,77868,126980
34057,31603,Directed,34057_31603,,,2113,27203402,113942,81675,75859,2650,59453
31453,30721,Directed,31453_30721,,,2451,89250688,350158,285158,405295,159882,475850
30325,34783,Directed,30325_34783,,,693,8139956,34448,28761,25315,17199,56423
34108,33044,Directed,34108_33044,,,254,27781204,0,0,17484232,7917,12585
30994,34057,Directed,30994_34057,,,1,293437,0,0,37415,2411,390
32982,30559,Directed,32982_30559,,,423,17926740,66411,61292,7878,32412,134077
34057,30666,Directed,34057_30666,,,197,3506600,14972,12832,4499,1547,9020
31650,33038,Directed,31650_33038,,,12,391500,1696,1278,4122,11196,1902
30155,33038,Directed,30155_33038,,,1,18500,0,0,9681,311,66
30994,34492,Directed,30994_34492,,,3,95610,384,366,522,651,234
31844,32615,Directed,31844_32615,,,505,1184393,3935,1167,50367,3782,14037
31517,35250,Directed,31517_35250,,,1,12000,0,0,11112,281,90
32523,31517,Directed,32523_31517,,,2,62640,144,83,2912,1248,244
32523,32610,Directed,32523_32610,,,593,1616933,4762,1712,87586,4998,26322
32467,32448,Directed,32467_32448,,,2,69200,286,203,174,1474,239
30204,32523,Directed,30204_32523,,,595,1014270,3430,1455,10305,2065,21460
35853,32294,Directed,35853_32294,,,9,23600,78,11,2726,348,209
30559,33540,Directed,30559_33540,,,79,272675,0,0,93296,1562,2432
30559,30275,Directed,30559_30275,,,650,11570000,49400,33454,6450,2556,27952
32815,36345,Directed,32815_36345,,,24,29263,141,28,68,252,363
33192,30852,Directed,33192_30852,,,358,12850478,52392,48891,12293,89604,96487
33244,33192,Directed,33244_33192,,,580,103998190,0,0,57942755,63380,128584
33192,30715,Directed,33192_30715,,,8,28000,0,0,5140,1365,926
34057,32575,Directed,34057_32575,,,8052,241497549,834698,715581,8718853,190948,927745
31995,31057,Directed,31995_31057,,,3346,69464400,261272,196260,6998,8466,87162
31327,35236,Directed,31327_35236,,,1,800,3,3,110,99,176
32719,31492,Directed,32719_31492,,,3,16800,0,0,4964,108,115
30113,35478,Directed,30113_35478,,,2,3475,8,2,942,436,182
35278,32822,Directed,35278_32822,,,5,15750,45,18,342,180,84
