Source,Target,Type,id,label,timeset,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,weight,DISTANCE,AIR_TIME
23,24,Directed,23_24,,,943,23598993,109897,84226,26686,9816,70415
27,12,Directed,27_12,,,6097,245182583,945061,823474,578474,357014,1033528
29,32,Directed,29_32,,,3494,128087193,480168,405572,923787,128806,627341
50,39,Directed,50_39,,,371,4479111,18500,12359,2306,8803,29012
9,17,Directed,9_17,,,3845,121438776,399352,324274,7000078,117405,486851
29,41,Directed,29_41,,,366,13565100,49764,42182,155885,44657,76540
27,32,Directed,27_32,,,3024,132517698,505047,446764,76683,148763,539525
35,41,Directed,35_41,,,365,13242600,48713,37064,43206,32108,57186
48,9,Directed,48_9,,,1030,42266008,152308,128401,62835,32456,180449
35,6,Directed,35_6,,,5146,176785340,532827,361828,11622101,152122,550456
39,4,Directed,39_4,,,1991,84311819,251966,218786,8801030,177138,465551
24,36,Directed,24_36,,,11666,324568819,1232054,866175,1301946,58119,565771
2,39,Directed,2_39,,,344,87804522,0,0,73818052,162100,115007
22,27,Directed,22_27,,,361,9171450,33515,25302,14248,26936,52142
39,24,Directed,39_24,,,5479,165634593,596877,418216,3331350,42013,308382
39,39,Directed,39_39,,,5399,90347643,216485,141332,13524026,24853,176276
36,32,Directed,36_32,,,5473,221788170,839957,712375,980246,272877,1663284
54,9,Directed,54_9,,,3,59040,237,166,1,1461,261
37,27,Directed,37_27,,,3359,95463132,363617,283829,151362,144252,478002
16,4,Directed,16_4,,,735,26914583,93418,66043,92082,26899,73270
29,39,Directed,29_39,,,3897,90272423,271916,191614,9619004,78155,290771
26,51,Directed,26_51,,,11096,222180814,849302,610604,119878,140045,743865
29,46,Directed,29_46,,,5,247247,50,36,73627,1258,400
27,35,Directed,27_35,,,677,23656755,93689,80864,70430,25506,92143
2,51,Directed,2_51,,,3,592137,258,228,241944,6851,1105
45,72,Directed,45_72,,,2,68445,323,318,136,2638,499
34,20,Directed,34_20,,,10,268726,1062,673,915,11275,1871
18,21,Directed,18_21,,,5010,73866180,235634,180160,7789000,24872,159282
30,26,Directed,30_26,,,23,685533,2806,2415,10,12556,3993
36,39,Directed,36_39,,,18164,268214257,934571,626243,17329313,204920,1289276
53,15,Directed,53_15,,,3431,203616770,685178,604032,7546656,264351,1160642
2,34,Directed,2_34,,,366,66913236,19276,16352,43107424,63816,111372
31,4,Directed,31_4,,,1932,64018836,247906,181150,92009,81134,286828
12,2,Directed,12_2,,,43,10145082,0,0,4294936,68029,2784
16,30,Directed,16_30,,,14,312487,766,532,42432,2850,591
9,24,Directed,9_24,,,2678,99136525,365862,276943,1076607,10440,143778
