id,label,timeset,Airport,City_name,State_name
14648,"RUT",,"RUT","Rutland VT","Vermont"
14764,"SFF",,"SFF","Spokane WA","Washington"
14761,"SFB",,"SFB","Sanford FL","Florida"
12436,"IYK",,"IYK","Inyokern CA","California"
10084,"A71",,"A71","Homer AK","Alaska"
13574,"MYK",,"MYK","May Creek AK","Alaska"
13577,"MYR",,"MYR","Myrtle Beach SC","South Carolina"
14769,"SFM",,"SFM","Sanford ME","Maine"
13572,"MYH",,"MYH","Marble Canyon AZ","Arizona"
14880,"SLQ",,"SLQ","Sleetmute AK","Alaska"
11711,"FMN",,"FMN","Farmington NM","New Mexico"
11659,"FDY",,"FDY","Findlay OH","Ohio"
11719,"FNL",,"FNL","Fort Collins/Loveland CO","Colorado"
12187,"HOP",,"HOP","Hopkinsville KY","Kentucky"
13836,"OH4",,"OH4","Marysville OH","Ohio"
13830,"OGG",,"OGG","Kahului HI","Hawaii"
13832,"OGS",,"OGS","Ogdensburg NY","New York"
10065,"A52",,"A52","Silver Salmon Creek AK","Alaska"
12460,"JCI",,"JCI","Kansas City MO","Kansas"
14944,"SPA",,"SPA","Greer SC","South Carolina"
11308,"DHN",,"DHN","Dothan AL","Alabama"
12831,"KUK",,"KUK","Kasigluk AK","Alaska"
15721,"WBB",,"WBB","Stebbins AK","Alaska"
13934,"ORI",,"ORI","Port Lions AK","Alaska"
10693,"BNA",,"BNA","Nashville TN","Tennessee"
10692,"BMX",,"BMX","Big Mountain AK","Alaska"
13931,"ORF",,"ORF","Norfolk VA","Virginia"
13930,"ORD",,"ORD","Chicago IL","Illinois"
13933,"ORH",,"ORH","Worcester MA","Massachusetts"
15282,"TNK",,"TNK","Tununak AK","Alaska"
15043,"SUS",,"SUS","St. Louis MO","Missouri"
15042,"SUO",,"SUO","Sunriver OR","Oregon"
15041,"SUN",,"SUN","Sun Valley/Hailey/Ketchum ID","Idaho"
12375,"IRK",,"IRK","Kirksville MO","Missouri"
15045,"SUU",,"SUU","Fairfield CA","California"
12402,"ITO",,"ITO","Hilo HI","Hawaii"
14193,"PNS",,"PNS","Pensacola FL","Florida"
15049,"SVA",,"SVA","Savoonga AK","Alaska"
15048,"SUX",,"SUX","Sioux City IA","Iowa"
12279,"ICY",,"ICY","Icy Bay AK","Alaska"
12278,"ICT",,"ICT","Wichita KS","Kansas"
10666,"BLI",,"BLI","Bellingham WA","Washington"
12175,"HNS",,"HNS","Haines AK","Alaska"
12173,"HNL",,"HNL","Honolulu HI","Hawaii"
16517,"CA6",,"CA6","Chemehuevi Valley CA","California"
12171,"HNH",,"HNH","Hoonah AK","Alaska"
10747,"BRO",,"BRO","Brownsville TX","Texas"
10744,"BRL",,"BRL","Burlington IA","Iowa"
13485,"MSN",,"MSN","Madison WI","Wisconsin"
13484,"MSL",,"MSL","Muscle Shoals AL","Alabama"
13487,"MSP",,"MSP","Minneapolis MN","Minnesota"
13486,"MSO",,"MSO","Missoula MT","Montana"
14101,"PHN",,"PHN","Port Huron MI","Michigan"
14100,"PHL",,"PHL","Philadelphia PA","Pennsylvania"
13873,"OME",,"OME","Nome AK","Alaska"
