Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
30559,30538,Directed,30559_30538,,,4,12000,36,14,0,324,468
32206,30466,Directed,32206_30466,,,84,2942208,13174,2089,0,12623,11962
33570,32547,Directed,33570_32547,,,2,74127,274,222,100,3076,435
31517,32214,Directed,31517_32214,,,418,990071,3720,1756,153054,20320,35688
30436,34524,Directed,30436_34524,,,1,50887,0,0,37500,1937,213
33192,33486,Directed,33192_33486,,,1,40522,162,116,0,683,96
33830,32982,Directed,33830_32982,,,1230,9599898,45617,36534,0,2822,65940
31834,31953,Directed,31834_31953,,,1,12500,50,43,0,832,140
32709,33894,Directed,32709_33894,,,3,4200,21,20,0,254,154
32600,32945,Directed,32600_32945,,,2,78281,122,43,37403,964,168
30194,31504,Directed,30194_31504,,,1780,21594800,87951,72205,3100,17948,155709
30140,30693,Directed,30140_30693,,,2,89152,319,293,240,2246,320
30325,30198,Directed,30325_30198,,,1150,31355372,119571,104402,88034,89010,177134
35249,33728,Directed,35249_33728,,,6,102030,406,310,130,845,234
35165,33525,Directed,35165_33525,,,1,241031,0,0,212651,1636,219
34582,34955,Directed,34582_34955,,,781,5399184,19932,10987,482733,2190,20400
30928,32457,Directed,30928_32457,,,1,82083,0,0,19500,1364,192
35381,31725,Directed,35381_31725,,,18,144000,0,0,25817,3144,1863
31980,31295,Directed,31980_31295,,,1,36700,137,87,0,779,107
33894,31550,Directed,33894_31550,,,1,1200,6,3,0,157,70
31447,31650,Directed,31447_31650,,,356,2498425,11701,3993,0,4563,27550
34057,30999,Directed,34057_30999,,,2,6900,0,0,2140,422,304
33244,30980,Directed,33244_30980,,,418,8109526,50,47,4058602,5962,28297
